gene,source
TLR3,zhao
IRF8,zhao
NPB,zhao
CCR5,zhao
SLC15A2,zhao
AGER,zhao
MAPK3,zhao
GPR55,zhao
GRIN2D,zhao
DLG4,zhao
S100B,zhao
CD40,zhao
SLC6A6,zhao
RAG2,zhao
ADCYAP1,zhao
GABBR1,zhao
ARRB2,hpg_zhao
SOD2,hpg_zhao
IL4,hpg_zhao
CAMK4,hpg_zhao
OPRM1,hpg_zhao
DRD2,hpg_zhao
SLC17A8,hpg_zhao
FAAH,hpg_zhao
POMC,hpg_zhao
IL10,hpg_zhao
KCND2,hpg_zhao
IFNG,hpg_zhao
MYD88,hpg_zhao
CYP19A1,hpg_zhao
NCAM1,hpg_zhao
ABCB1,hpg_zhao
ADRB2,hpg_zhao
NOS3,hpg_zhao
AVPR1A,hpg_zhao
TLR2,hpg_zhao
ADCYAP1R1,hpg_zhao
OPRK1,hpg_zhao
GRIA1,hpg_zhao
NOS2,hpg_zhao
GRIN2A,hpg_zhao
DRD3,hpg_zhao
OPRD1,hpg_zhao
KCNJ3,hpg_zhao
PRKCA,hpg_zhao
DBH,hpg_zhao
TRPM8,hpg_zhao
TNFRSF1A,hpg_zhao
CLOCK,hpg_zhao
KCNK9,hpg_zhao
SLC6A2,hpg_zhao
TRPV4,hpg_zhao
ADRA1D,hpg_zhao
LRP1,hpg_zhao
CNR1,hpg_zhao
RAMP1,hpg_zhao
TRPA1,hpg_zhao
SCN9A,hpg_zhao
PCSK6,hpg_zhao
ADAMTS5,hpg_zhao
SCN10A,hpg_zhao
ABCC4,hpg_zhao
HTR2A,hpg_zhao
TRPV3,hpg_zhao
TACR1,hpg_zhao
APOE,hpg_zhao
MAP2K1,hpg_zhao
GABRR1,hpg_zhao
TNF,hpg_zhao
CACNA1A,hpg_zhao
ESR2,hpg_zhao
MAPK1,hpg_zhao
CALCA,hpg_zhao
CACNA1E,hpg_zhao
EDNRB,hpg_zhao
TLR4,hpg_zhao
NF1,hpg_zhao
EDNRA,hpg_zhao
IL6,hpg_zhao
HTR3A,hpg_zhao
