fromnodeid	tonodeid
PRPF40A	SERPINB9
PRPF40A	CD2BP2
PRPF40A	SDCBP
PRPF40A	PICK1
PRPF40A	SETD1B
PRPF40A	ZFHX3
PRPF40A	NKAPD1
PRPF40A	TRIR
PRPF40A	DIAPH1
PRPF40A	UBR4
PRPF40A	PIAS4
PRPF40A	THOC6
PRPF40A	HTT
PRPF40A	PAXBP1
PRPF40A	SART1
PRPF40A	FMNL1
PRPF40A	BUD31
PRPF40A	SRPK2
PRPF40A	SNRNP27
PRPF40A	CSNK2A1
PRPF40A	SF3B2
PRPF40A	UBQLN2
PRPF40A	HIPK1
PRPF40A	PECAM1
PRPF40A	NUDT21
PRPF40A	BRD4
PRPF40A	CDC40
PRPF40A	PPIL2
PRPF40A	SLU7
PRPF40A	ISY1
PRPF40A	THOC5
PRPF40A	DDX46
PRPF40A	SMNDC1
PRPF40A	SRSF9
PRPF40A	CWC15
PRPF40A	ACIN1
PRPF40A	SF3B4
PRPF40A	UBE2I
PRPF40A	CDK13
PRPF40A	SNRPC
PRPF40A	PCBP2
PRPF40A	PIAS1
PRPF40A	YWHAG
PRPF40A	PFKL
PRPF40A	SREK1IP1
PRPF40A	SNRPB2
PRPF40A	RBM17
PRPF40A	IL1RAP
PRPF40A	SRSF6
PRPF40A	DHX8
PRPF40A	FMN1
PRPF40A	SRRM1
PRPF40A	LSM4
PRPF40A	SREK1
SRRM1	HNRNPA3
SRRM1	HNRNPC
SRRM1	ZNF207
SRRM1	DDX41
SRRM1	HNRNPA1
SRRM1	HNRNPF
SRRM1	DYNC1H1
SRRM1	RBM22
SRRM1	U2SURP
SRRM1	HNRNPK
SRRM1	RAD21
SRRM1	RNPS1
SRRM1	SFPQ
SRRM1	CD2BP2
SRRM1	SYNCRIP
SRRM1	TRIR
SRRM1	HNRNPU
SRRM1	HNRNPR
SRRM1	SNRPD3
SRRM1	NXF1
SRRM1	THOC6
SRRM1	PAXBP1
SRRM1	SART1
SRRM1	BUD31
SRRM1	SRPK2
SRRM1	APC
SRRM1	SNRNP27
SRRM1	SF3B2
SRRM1	NUDT21
SRRM1	CDC40
SRRM1	PPIL2
SRRM1	HNRNPM
SRRM1	DEK
SRRM1	SLU7
SRRM1	SMC1A
SRRM1	ISY1
SRRM1	THOC5
SRRM1	DDX46
SRRM1	SMNDC1
SRRM1	SRSF9
SRRM1	CWC15
SRRM1	ACIN1
SRRM1	SF3B4
SRRM1	SNRPC
SRRM1	RALY
SRRM1	PPP1CA
SRRM1	SRSF6
SRRM1	DHX8
SRRM1	YWHAG
SRRM1	RBM17
SRRM1	HNRNPA2B1
SRRM1	SRSF3
SRRM1	SNRPB2
SRRM1	FRG1
SRRM1	LSM4
SRSF9	ZNF207
SRSF9	DDX41
SRSF9	YBX1
SRSF9	RBM22
SRSF9	U2SURP
SRSF9	RNPS1
SRSF9	CD2BP2
SRSF9	TRIR
SRSF9	THOC6
SRSF9	PAXBP1
SRSF9	SART1
SRSF9	BUD31
SRSF9	SNRNP27
SRSF9	SF3B2
SRSF9	NUDT21
SRSF9	CDC40
SRSF9	PPIL2
SRSF9	SLU7
SRSF9	ISY1
SRSF9	THOC5
SRSF9	DDX46
SRSF9	SMNDC1
SRSF9	SNRPB2
SRSF9	ACIN1
SRSF9	RBM17
SRSF9	CWC15
SRSF9	DHX8
SRSF9	SF3B4
SRSF9	SRSF6
SRSF9	LSM4
SRSF9	SNRPC
DDX41	HNRNPA3
DDX41	HNRNPC
DDX41	ZNF207
DDX41	HNRNPF
DDX41	HNRNPU
